序号,今日关卡,规则介绍语言包id,今日次数,关卡士兵等级,关卡类型参数
代表周几：1~7代表周一到周日 即对应日期通过同一个金币试练入口进入相对应的关卡id;配置方式为,对应关卡ID,对应语言包ID,一天内可以进入的次数；凌晨5点重置,配置的数值为a 实际等级数为玩家等级数加a,填[] 表示不需要读取该字段信息;0类型为无效列――[];1类型为无效列――[];2类型为无效列――[];3类型为[奖励系数+等级系数]――[n1+n2];4类型为无效列――[]
WeekNum,Stage,StageDesc,Frequency,StageLevel,Stage_TypeParam
index,int,int,int,int,json
1,130001,1008,2,1,[0.01+5]
2,130002,1008,2,1,[0.01+5]
3,130003,1008,2,1,[0.01+5]
4,130004,1008,2,1,[0.01+5]
5,130005,1008,2,1,[0.01+5]
6,130006,1008,2,1,[0.01+5]
7,130007,1008,2,1,[0.01+5]
