语言ID,说明,CN,,,,,,,
主键
ID,Null,Content,,,,,
index,null,string,,,,,
50000,任务标题,踏入征途,,,,,,,
50001,任务说明,通过普通关卡第一章第3关,,,,,,,
50002,任务标题,踏入征途,,,,,,,
50003,任务说明,通过普通关卡第一章第4关,,,,,,,
50004,任务标题,踏入征途,,,,,,,
50005,任务说明,通过普通关卡第一章第5关,,,,,,,
50006,任务标题,踏入征途,,,,,,,
50007,任务说明,通过普通关卡第一章第6关,,,,,,,
50008,任务标题,踏入征途,,,,,,,
50009,任务说明,通过普通关卡第一章第9关,,,,,,,
50010,任务标题,踏入征途,,,,,,,
50011,任务说明,通过普通关卡第一章第12关,,,,,,,
50012,任务标题,踏入征途,,,,,,,
50013,任务说明,通过普通关卡第一章第15关,,,,,,,
50014,任务标题,踏入征途,,,,,,,
50015,任务说明,通过普通关卡第一章第18关,,,,,,,
50016,任务标题,踏入征途,,,,,,,
50017,任务说明,通过普通关卡第二章第3关,,,,,,,
50018,任务标题,踏入征途,,,,,,,
50019,任务说明,通过普通关卡第二章第6关,,,,,,,
50020,任务标题,踏入征途,,,,,,,
50021,任务说明,通过普通关卡第二章第9关,,,,,,,
50022,任务标题,踏入征途,,,,,,,
50023,任务说明,通过普通关卡第二章第12关,,,,,,,
50024,任务标题,踏入征途,,,,,,,
50025,任务说明,通过普通关卡第二章第15关,,,,,,,
50026,任务标题,踏入征途,,,,,,,
50027,任务说明,通过普通关卡第二章第18关,,,,,,,
50028,任务标题,踏入征途,,,,,,,
50029,任务说明,通过普通关卡第三章第3关,,,,,,,
50030,任务标题,踏入征途,,,,,,,
50031,任务说明,通过普通关卡第三章第6关,,,,,,,
50032,任务标题,踏入征途,,,,,,,
50033,任务说明,通过普通关卡第三章第9关,,,,,,,
50034,任务标题,踏入征途,,,,,,,
50035,任务说明,通过普通关卡第三章第12关,,,,,,,
50036,任务标题,踏入征途,,,,,,,
50037,任务说明,通过普通关卡第三章第15关,,,,,,,
50038,任务标题,踏入征途,,,,,,,
50039,任务说明,通过普通关卡第三章第18关,,,,,,,
50040,任务标题,踏入征途,,,,,,,
50041,任务说明,通过普通关卡第四章第3关,,,,,,,
50042,任务标题,踏入征途,,,,,,,
50043,任务说明,通过普通关卡第四章第6关,,,,,,,
50044,任务标题,踏入征途,,,,,,,
50045,任务说明,通过普通关卡第四章第9关,,,,,,,
50046,任务标题,踏入征途,,,,,,,
50047,任务说明,通过普通关卡第四章第12关,,,,,,,
50048,任务标题,踏入征途,,,,,,,
50049,任务说明,通过普通关卡第四章第15关,,,,,,,
50050,任务标题,踏入征途,,,,,,,
50051,任务说明,通过普通关卡第四章第18关,,,,,,,
50052,任务标题,踏入征途,,,,,,,
50053,任务说明,通过普通关卡第五章第3关,,,,,,,
50054,任务标题,踏入征途,,,,,,,
50055,任务说明,通过普通关卡第五章第6关,,,,,,,
50056,任务标题,踏入征途,,,,,,,
50057,任务说明,通过普通关卡第五章第9关,,,,,,,
50058,任务标题,踏入征途,,,,,,,
50059,任务说明,通过普通关卡第五章第12关,,,,,,,
50060,任务标题,踏入征途,,,,,,,
50061,任务说明,通过普通关卡第五章第15关,,,,,,,
50062,任务标题,踏入征途,,,,,,,
50063,任务说明,通过普通关卡第五章第18关,,,,,,,
50064,任务标题,踏入征途,,,,,,,
50065,任务说明,通过普通关卡第六章第3关,,,,,,,
50066,任务标题,踏入征途,,,,,,,
50067,任务说明,通过普通关卡第六章第6关,,,,,,,
50068,任务标题,踏入征途,,,,,,,
50069,任务说明,通过普通关卡第六章第9关,,,,,,,
50070,任务标题,踏入征途,,,,,,,
50071,任务说明,通过普通关卡第六章第12关,,,,,,,
50072,任务标题,踏入征途,,,,,,,
50073,任务说明,通过普通关卡第六章第15关,,,,,,,
50074,任务标题,踏入征途,,,,,,,
50075,任务说明,通过普通关卡第六章第18关,,,,,,,
50076,任务标题,踏入征途,,,,,,,
50077,任务说明,通过普通关卡第七章第3关,,,,,,,
50078,任务标题,踏入征途,,,,,,,
50079,任务说明,通过普通关卡第七章第6关,,,,,,,
50080,任务标题,踏入征途,,,,,,,
50081,任务说明,通过普通关卡第七章第9关,,,,,,,
50082,任务标题,踏入征途,,,,,,,
50083,任务说明,通过普通关卡第七章第12关,,,,,,,
50084,任务标题,踏入征途,,,,,,,
50085,任务说明,通过普通关卡第七章第15关,,,,,,,
50086,任务标题,踏入征途,,,,,,,
50087,任务说明,通过普通关卡第八章第3关,,,,,,,
50088,任务标题,踏入征途,,,,,,,
50089,任务说明,通过普通关卡第八章第6关,,,,,,,
50090,任务标题,踏入征途,,,,,,,
50091,任务说明,通过普通关卡第八章第9关,,,,,,,
50092,任务标题,踏入征途,,,,,,,
50093,任务说明,通过普通关卡第八章第12关,,,,,,,
50094,任务标题,踏入征途,,,,,,,
50095,任务说明,通过普通关卡第八章第15关,,,,,,,
50500,任务标题,英雄之路,,,,,,,
50501,任务说明,通过精英关卡第一章第1关,,,,,,,
50502,任务标题,英雄之路,,,,,,,
50503,任务说明,通过精英关卡第一章第2关,,,,,,,
50504,任务标题,英雄之路,,,,,,,
50505,任务说明,通过精英关卡第一章第3关,,,,,,,
50506,任务标题,英雄之路,,,,,,,
50507,任务说明,通过精英关卡第一章第4关,,,,,,,
50508,任务标题,英雄之路,,,,,,,
50509,任务说明,通过精英关卡第一章第5关,,,,,,,
50510,任务标题,英雄之路,,,,,,,
50511,任务说明,通过精英关卡第一章第6关,,,,,,,
50512,任务标题,英雄之路,,,,,,,
50513,任务说明,通过精英关卡第二章第1关,,,,,,,
50514,任务标题,英雄之路,,,,,,,
50515,任务说明,通过精英关卡第二章第2关,,,,,,,
50516,任务标题,英雄之路,,,,,,,
50517,任务说明,通过精英关卡第二章第3关,,,,,,,
50518,任务标题,英雄之路,,,,,,,
50519,任务说明,通过精英关卡第二章第4关,,,,,,,
50520,任务标题,英雄之路,,,,,,,
50521,任务说明,通过精英关卡第二章第5关,,,,,,,
50522,任务标题,英雄之路,,,,,,,
50523,任务说明,通过精英关卡第二章第6关,,,,,,,
50524,任务标题,英雄之路,,,,,,,
50525,任务说明,通过精英关卡第三章第1关,,,,,,,
50526,任务标题,英雄之路,,,,,,,
50527,任务说明,通过精英关卡第三章第2关,,,,,,,
50528,任务标题,英雄之路,,,,,,,
50529,任务说明,通过精英关卡第三章第3关,,,,,,,
50530,任务标题,英雄之路,,,,,,,
50531,任务说明,通过精英关卡第三章第4关,,,,,,,
50532,任务标题,英雄之路,,,,,,,
50533,任务说明,通过精英关卡第三章第5关,,,,,,,
50534,任务标题,英雄之路,,,,,,,
50535,任务说明,通过精英关卡第三章第6关,,,,,,,
50536,任务标题,英雄之路,,,,,,,
50537,任务说明,通过精英关卡第四章第1关,,,,,,,
50538,任务标题,英雄之路,,,,,,,
50539,任务说明,通过精英关卡第四章第2关,,,,,,,
50540,任务标题,英雄之路,,,,,,,
50541,任务说明,通过精英关卡第四章第3关,,,,,,,
50542,任务标题,英雄之路,,,,,,,
50543,任务说明,通过精英关卡第四章第4关,,,,,,,
50544,任务标题,英雄之路,,,,,,,
50545,任务说明,通过精英关卡第四章第5关,,,,,,,
50546,任务标题,英雄之路,,,,,,,
50547,任务说明,通过精英关卡第四章第6关,,,,,,,
50548,任务标题,英雄之路,,,,,,,
50549,任务说明,通过精英关卡第五章第1关,,,,,,,
50550,任务标题,英雄之路,,,,,,,
50551,任务说明,通过精英关卡第五章第2关,,,,,,,
50552,任务标题,英雄之路,,,,,,,
50553,任务说明,通过精英关卡第五章第3关,,,,,,,
50554,任务标题,英雄之路,,,,,,,
50555,任务说明,通过精英关卡第五章第4关,,,,,,,
50556,任务标题,英雄之路,,,,,,,
50557,任务说明,通过精英关卡第五章第5关,,,,,,,
50558,任务标题,英雄之路,,,,,,,
50559,任务说明,通过精英关卡第五章第6关,,,,,,,
50560,任务标题,英雄之路,,,,,,,
50561,任务说明,通过精英关卡第六章第1关,,,,,,,
50562,任务标题,英雄之路,,,,,,,
50563,任务说明,通过精英关卡第六章第2关,,,,,,,
50564,任务标题,英雄之路,,,,,,,
50565,任务说明,通过精英关卡第六章第3关,,,,,,,
50566,任务标题,英雄之路,,,,,,,
50567,任务说明,通过精英关卡第六章第4关,,,,,,,
50568,任务标题,英雄之路,,,,,,,
50569,任务说明,通过精英关卡第六章第5关,,,,,,,
50570,任务标题,英雄之路,,,,,,,
50571,任务说明,通过精英关卡第六章第6关,,,,,,,
50572,任务标题,英雄之路,,,,,,,
50573,任务说明,通过精英关卡第七章第1关,,,,,,,
50574,任务标题,英雄之路,,,,,,,
50575,任务说明,通过精英关卡第七章第2关,,,,,,,
50576,任务标题,英雄之路,,,,,,,
50577,任务说明,通过精英关卡第七章第3关,,,,,,,
50578,任务标题,英雄之路,,,,,,,
50579,任务说明,通过精英关卡第七章第4关,,,,,,,
50580,任务标题,英雄之路,,,,,,,
50581,任务说明,通过精英关卡第七章第5关,,,,,,,
50582,任务标题,英雄之路,,,,,,,
50583,任务说明,通过精英关卡第八章第1关,,,,,,,
50584,任务标题,英雄之路,,,,,,,
50585,任务说明,通过精英关卡第八章第2关,,,,,,,
50586,任务标题,英雄之路,,,,,,,
50587,任务说明,通过精英关卡第八章第3关,,,,,,,
50588,任务标题,英雄之路,,,,,,,
50589,任务说明,通过精英关卡第八章第4关,,,,,,,
50590,任务标题,英雄之路,,,,,,,
50591,任务说明,通过精英关卡第八章第5关,,,,,,,
51001,支线任务标题,披坚执锐,,,,,,,
51002,支线任务说明,为任意英雄穿戴任意装备,,,,,,,
51003,支线任务标题,小试牛刀,,,,,,,
51004,支线任务说明,完成2场对玩家竞技,,,,,,,
51005,支线任务标题,一枝独秀,,,,,,,
51006,支线任务说明,任意英雄升至10级,,,,,,,
51007,支线任务标题,一枝独秀,,,,,,,
51008,支线任务说明,任意英雄升至20级,,,,,,,
51009,支线任务标题,一枝独秀,,,,,,,
51010,支线任务说明,任意英雄升至30级,,,,,,,
51011,支线任务标题,一枝独秀,,,,,,,
51012,支线任务说明,任意英雄升至40级,,,,,,,
51013,支线任务标题,一枝独秀,,,,,,,
51014,支线任务说明,任意英雄升至50级,,,,,,,
51015,支线任务标题,一枝独秀,,,,,,,
51016,支线任务说明,任意英雄升至65级,,,,,,,
51017,支线任务标题,群英荟萃,,,,,,,
51018,支线任务说明,3个英雄升至10级,,,,,,,
51019,支线任务标题,群英荟萃,,,,,,,
51020,支线任务说明,5个英雄升至10级,,,,,,,
51021,支线任务标题,群英荟萃,,,,,,,
51022,支线任务说明,3个英雄升至20级,,,,,,,
51023,支线任务标题,群英荟萃,,,,,,,
51024,支线任务说明,5个英雄升至20级,,,,,,,
51025,支线任务标题,群英荟萃,,,,,,,
51026,支线任务说明,3个英雄升至30级,,,,,,,
51027,支线任务标题,群英荟萃,,,,,,,
51028,支线任务说明,5个英雄升至30级,,,,,,,
51029,支线任务标题,群英荟萃,,,,,,,
51030,支线任务说明,3个英雄升至40级,,,,,,,
51031,支线任务标题,群英荟萃,,,,,,,
51032,支线任务说明,5个英雄升至40级,,,,,,,
51033,支线任务标题,群英荟萃,,,,,,,
51034,支线任务说明,3个英雄升至50级,,,,,,,
51035,支线任务标题,群英荟萃,,,,,,,
51036,支线任务说明,5个英雄升至50级,,,,,,,
51037,支线任务标题,群英荟萃,,,,,,,
51038,支线任务说明,3个英雄升至65级,,,,,,,
51039,支线任务标题,群英荟萃,,,,,,,
51040,支线任务说明,5个英雄升至65级,,,,,,,
51041,支线任务标题,星光大道,,,,,,,
51042,支线任务说明,为任意英雄升星,,,,,,,
51043,支线任务标题,召唤师之路,,,,,,,
51044,支线任务说明,通过第一章所有关卡,,,,,,,
51045,支线任务标题,小试牛刀,,,,,,,
51046,支线任务说明,完成5场对玩家竞技,,,,,,,
51047,支线任务标题,小试牛刀,,,,,,,
51048,支线任务说明,完成10场对玩家竞技,,,,,,,
54001,竞技场日常任务说明,在3场对玩家竞技中获胜,,,,,,,
54002,竞技场日常任务说明,继续在3场对玩家竞技中获胜,,,,,,,
54003,竞技场日常任务说明,继续在3场对玩家竞技中获胜,,,,,,,
54004,竞技场日常任务说明,继续在3场对玩家竞技中获胜,,,,,,,
54005,竞技场日常任务说明,继续在3场对玩家竞技中获胜（循环）,,,,,,,
54051,竞技场日常任务标题,完成5场对玩家竞技,,,,,,,
55000,日常任务标题,豪华午餐,,,,,,,
55001,日常任务说明,每天12:00后可领取50体力,,,,,,,
55002,日常任务标题,豪华晚餐,,,,,,,
55003,日常任务说明,每天18:00后可领取50体力,,,,,,,
55004,日常任务标题,抽抽乐,,,,,,,
55005,日常任务说明,抽卡1次,,,,,,,
55006,日常任务标题,刷卡,,,,,,,
55007,日常任务说明,英雄吞噬任意经验道具,,,,,,,
55008,日常任务标题,日进斗金,,,,,,,
55009,日常任务说明,使用钻石购买金币3次,,,,,,,
55010,日常任务标题,刷关道友,,,,,,,
55011,日常任务说明,通过5次普通关卡,,,,,,,
55012,日常任务标题,刷关精英,,,,,,,
55013,日常任务说明,通过3次精英关卡,,,,,,,
55014,日常任务标题,副本杀手,,,,,,,
55015,日常任务说明,通过1次活动副本关卡,,,,,,,
55016,日常任务标题,英灵之主,,,,,,,
55017,日常任务说明,通过1次英雄试炼,,,,,,,
55018,日常任务标题,淘宝之王,,,,,,,
55019,日常任务说明,通过1次金币试炼,,,,,,,
55020,日常任务标题,攀登之魂,,,,,,,
55021,日常任务说明,通过2层爬塔试炼,,,,,,,
55022,日常任务标题,切磋技艺,,,,,,,
55023,日常任务说明,完成5场对玩家竞技,,,,,,,
55024,日常任务标题,公会之心,,,,,,,
55025,日常任务说明,完成1次公会个人任务并领取奖励,,,,,,,
55026,日常任务标题,东征西讨,,,,,,,
55027,日常任务说明,通过5次任意关卡,,,,,,,
55028,日常任务标题,月卡奖励,,,,,,,
55029,日常任务说明,领取月卡每日奖励,,,,,,,
55030,日常任务标题,活跃奖励,,,,,,,
55031,日常任务说明,为公会贡献100点活跃值,,,,,,,
55032,日常任务标题,派遣佣兵,,,,,,,
55033,日常任务说明,派遣1名佣兵到公会,,,,,,,
55034,日常任务标题,雇佣佣兵,,,,,,,
55035,日常任务说明,在战斗中使用1次佣兵,,,,,,,
55036,日常任务标题,装备打造,,,,,,,
55037,日常任务说明,打造任意1件装备,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
